타임스탬프,Q1. 성별을 선택해 주세요.,Q2. 연령대를 선택해 주세요.,Q3. 평소 머리를 감는 시간대는 언제인가요?,Q4. 현재 가장 고민되는 두피 상태는 무엇인가요? (최대 2개 선택)  ,Q5.  현재 사용 중인 샴푸를 선택하게 된 가장 큰 이유는 무엇인가요? (복수 선택 가능) ,Q6. 현재 사용 중인 샴푸에 대해 가장 아쉬운 점은 무엇인가요? (복수 선택 가능)  ,"Q7. 하루 중 아침과 밤, 두피 상태가 다르다고 느낀 적이 있나요?","Q8. 만약 아침용(데이) / 밤용(나잇)으로 구분된 두피 케어 샴푸가 출시된다면, 구매 의향이 있나요?

*참고: 
아침용(데이) - 저자극 / 순한 성분으로 가볍게 유분기만 제거
밤용(나잇) - 세정력, 보습력, 탈모 완화↑",1열,2열
2026. 2. 5 오후 5:20:49,여성,20대,아침(하루 1번),탈모 / 모발 가늘어짐,탈모 완화 기능이 있어서,두피 케어 효과를 느끼기 어렵다,3,있다,,
2026. 2. 5 오후 5:21:09,남성,20대,아침&저녁(하루 2번),두피 열감,"세정력이 좋아서, ",향이 부담스럽다,2,없다,102,
2026. 2. 5 오후 7:12:47,여성,20대,아침(하루 1번),"유분 과다 / 떡짐, 탈모 / 모발 가늘어짐","두피 케어 효과를 기대해서, 세정력이 좋아서, 향이 마음에 들어서",두피 케어 효과를 느끼기 어렵다,5,있다,,
2026. 2. 5 오후 7:13:50,남성,30대,아침(하루 1번),탈모 / 모발 가늘어짐,탈모 완화 기능이 있어서,"향이 부담스럽다, 두피 케어 효과를 느끼기 어렵다",2,없다,60,62.96296296
2026. 2. 5 오후 7:14:59,남성,20대,아침&저녁(하루 2번),"유분 과다 / 떡짐, 탈모 / 모발 가늘어짐","두피 케어 효과를 기대해서, 향이 마음에 들어서",유분이 빨리 올라온다,5,있다,,
2026. 2. 5 오후 7:15:32,남성,20대,아침&저녁(하루 2번),"탈모 / 모발 가늘어짐, 민감성 / 자극감","두피 케어 효과를 기대해서, 탈모 완화 기능이 있어서",두피 케어 효과를 느끼기 어렵다,4,있다,,
2026. 2. 5 오후 7:15:44,여성,20대,저녁(하루 1번),특별한 고민 없음,"세정력이 좋아서, 향이 마음에 들어서",두피 케어 효과를 느끼기 어렵다,3,있다,,
2026. 2. 5 오후 7:16:22,여성,20대,아침(하루 1번),탈모 / 모발 가늘어짐,"두피 케어 효과를 기대해서, 탈모 완화 기능이 있어서",두피 케어 효과를 느끼기 어렵다,4,있다,,
2026. 2. 5 오후 7:16:50,남성,50대 이상,아침(하루 1번),특별한 고민 없음,"두피 케어 효과를 기대해서, 탈모 완화 기능이 있어서",두피 케어 효과를 느끼기 어렵다,1,있다,,
2026. 2. 5 오후 7:16:56,남성,30대,아침&저녁(하루 2번),"건조함 / 각질, 탈모 / 모발 가늘어짐",세정력이 좋아서,없음,4,있다,,
